time	RMSD_R1	RMSD_R2	RMSD_R3
66.3	1.44	1.16	1.63
66.4	1.57	1.35	1.57
66.5	1.56	1.13	1.44
66.6	1.6	1.04	1.49
66.7	1.71	1.09	1.6
66.8	1.74	1.22	1.42
66.9	1.87	1.08	1.5
67.0	2.02	1.06	1.52
67.1	2.11	0.94	1.56
67.2	1.94	0.98	1.58
67.3	2.08	1.1	1.45
67.4	1.86	1.0	1.48
67.5	1.85	1.06	1.48
67.6	1.86	1.15	1.5
67.7	1.65	1.21	1.6
67.8	1.83	1.22	1.52
67.9	1.82	1.0	1.68
68.0	1.77	0.95	1.7
68.1	1.92	1.14	1.53
68.2	1.85	1.09	1.52
68.3	1.67	1.11	1.62
68.4	1.89	1.25	1.71
68.5	2.17	1.15	1.69
68.6	1.95	1.01	1.63
68.7	2.43	1.09	1.44
68.8	1.99	1.08	1.67
68.9	2.0	1.15	1.7
69.0	2.03	1.1	1.59
69.1	1.99	1.24	1.55
69.2	1.69	1.37	1.69
69.3	1.88	1.14	1.43
69.4	1.97	1.36	1.44
69.5	2.04	1.19	1.35
69.6	1.99	1.26	1.2
69.7	1.89	0.98	1.21
69.8	1.76	1.11	1.17
69.9	1.67	1.0	1.38
70.0	1.55	1.05	1.37
70.1	1.8	1.23	1.35
70.2	1.65	1.05	1.29
70.3	1.88	0.96	1.19
70.4	2.0	0.88	1.38
70.5	1.62	1.07	1.23
70.6	1.91	1.04	1.32
70.7	1.68	1.18	1.41
70.8	1.66	1.14	1.06
70.9	1.62	1.27	1.08
71.0	1.71	1.21	1.12
71.1	1.76	1.01	1.08
71.2	1.64	1.01	1.03
71.3	1.7	0.96	1.43
71.4	1.62	1.07	1.01
71.5	1.51	1.06	1.14
71.6	1.75	1.17	1.24
71.7	1.75	1.11	1.19
71.8	1.4	1.15	1.41
71.9	1.52	1.1	1.27
72.0	1.63	1.08	1.2
72.1	1.65	1.09	1.33
72.2	1.6	1.15	1.34
72.3	1.85	1.18	1.24
72.4	1.38	1.38	1.18
72.5	1.42	1.22	1.08
72.6	1.59	1.16	1.04
72.7	1.66	1.32	1.46
72.8	1.43	1.38	1.11
72.9	1.43	1.28	1.17
73.0	1.86	1.15	1.02
73.1	1.83	1.08	1.03
73.2	1.78	1.31	1.09
73.3	1.88	1.46	0.97
73.4	1.61	1.19	1.03
73.5	1.47	1.2	1.22
73.6	1.65	1.18	1.25
73.7	1.64	1.26	1.19
73.8	1.72	1.55	1.05
73.9	1.86	1.31	1.12
74.0	1.9	1.32	1.03
74.1	1.53	1.42	1.13
74.2	1.75	1.21	1.24
74.3	2.06	1.16	1.17
74.4	2.01	1.37	1.04
74.5	1.69	1.49	0.99
74.6	2.03	1.37	1.06
74.7	1.91	1.56	1.19
74.8	1.87	1.48	1.0
74.9	1.88	1.47	1.07
75.0	1.62	1.53	1.01
75.1	1.85	1.33	1.0
75.2	1.92	1.64	1.1
75.3	1.89	1.54	1.0
75.4	1.8	1.55	1.05
75.5	1.87	1.47	1.04
75.6	1.7	1.39	1.07
75.7	1.73	1.43	1.13
75.8	1.9	1.58	1.03
75.9	1.8	1.35	1.22
76.0	1.89	1.54	1.04
76.1	1.68	1.49	1.09
76.2	2.04	1.67	1.14
76.3	1.74	1.61	1.16
76.4	1.83	1.38	0.97
76.5	1.78	1.49	0.94
76.6	1.55	1.37	0.96
76.7	1.61	1.53	1.11
76.8	1.56	1.45	1.05
76.9	1.39	1.23	0.96
77.0	1.57	1.16	1.14
77.1	1.87	1.34	1.15
77.2	1.78	1.2	1.27
77.3	1.68	1.28	1.22
77.4	1.73	1.36	1.18
77.5	1.73	1.27	1.02
77.6	1.52	1.39	1.0
77.7	1.58	1.7	1.02
77.8	1.77	1.32	1.16
77.9	1.69	1.39	1.15
78.0	1.74	1.38	1.09
78.1	1.81	1.45	1.09
78.2	1.71	1.66	1.14
78.3	1.51	1.6	1.06
78.4	1.8	1.41	1.19
78.5	1.56	1.47	1.0
78.6	1.47	1.13	1.26
78.7	1.59	1.11	1.23
78.8	1.53	1.25	1.18
78.9	1.56	0.92	1.05
79.0	1.55	1.06	0.91
79.1	1.63	1.09	0.99
79.2	1.59	1.05	0.89
79.3	1.77	1.12	1.03
79.4	1.51	0.95	1.01
79.5	1.72	1.06	0.96
79.6	1.85	1.3	0.93
79.7	1.94	1.04	1.0
79.8	1.65	1.19	1.14
79.9	1.55	1.06	1.06
80.0	1.87	1.11	1.12
80.1	2.06	1.13	1.12
80.2	1.97	1.07	0.95
80.3	1.84	0.99	1.23
80.4	1.86	1.18	1.01
80.5	1.86	1.1	1.01
80.6	1.87	1.12	1.05
80.7	1.69	1.09	1.12
80.8	1.6	1.06	1.09
80.9	1.7	1.18	1.08
81.0	1.82	1.13	1.14
81.1	2.03	1.12	1.18
81.2	1.64	0.93	0.99
81.3	1.88	1.13	1.05
81.4	1.87	1.08	1.02
81.5	2.23	1.18	0.98
81.6	2.03	1.29	1.09
81.7	1.86	1.1	0.96
81.8	1.75	1.13	1.07
81.9	1.64	1.43	1.02
82.0	1.89	1.19	0.94
82.1	1.78	1.05	0.99
82.2	1.88	1.12	1.05
82.3	1.91	0.97	1.04
82.4	1.74	1.14	1.14
82.5	1.87	1.07	0.97
82.6	1.87	1.13	1.18
82.7	1.68	1.1	1.09
82.8	1.72	1.17	1.06
